p_id,name,products,price,colour,brand,img,description,p_attributes,category,subcategory,fabric,occasion
13842966,Sassafras Brown & Red Geometric Printed Georgette Wrap Crop Top,Crop Top,1499,Brown,SASSAFRAS,http://assets.myntassets.com/assets/images/13842966/2021/4/3/3d20dde9-8c47-48f2-a079-8cdacd9c78b11617444711671-Sassafras-Brown--Red-Geometric-Printed-Georgette-Wrap-Crop-T-1.jpg,"<ul><li>Brown and red crop wrap top</li><li>Printed</li><li>Woven georgette</li><li>Shirt collar</li><li>Three-quarter sleeves, cuffed sleeves</li><li>2021</li><li>Button</li></ul>Polyester Machine washThe model (height 5'8) is wearing a size S","{'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Button', 'Fabric': 'Polyester', 'Fabric Type': 'Georgette', 'Length': 'Crop', 'Lining': 'Has a lining', 'Main Trend': 'Geometric Print', 'Multipack Set': 'NA', 'Neck': 'Shirt Collar', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Geometric', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Cuffed Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Wrap', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
11697268,Roadster Women White Solid Round Neck Boxy Cropped Top,Cropped Top,499,White,Roadster,http://assets.myntassets.com/assets/images/11697268/2020/6/16/07c21bd2-f951-4e06-858d-2430ef5ea2861592297754829-Roadster-Women-Tops-4141592297752797-1.jpg,"White printed detail boxy cropped Top, has a round neck, and short sleevesThe model (height 5'8"") is wearing a size SMaterial: Cotton<br> Machine Wash","{'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Closure': 'NA', 'Fabric': 'Pure Cotton', 'Fabric Type': 'Cotton', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'Typography or Slogan Print', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Typography', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'taxMaterial': 'NA'}",Top,Crop Top,Pure Cotton,Casual
12222036,SASSAFRAS Black High Neck Cropped Top,Cropped Top,999,Black,SASSAFRAS,http://assets.myntassets.com/assets/images/12222036/2020/10/6/d7ae3065-98d4-42d0-b244-d2b18802ff101601959656577-SASSAFRAS-Women-Black-Solid-High-Neck-Cropped-Top-4441601959-1.jpg,"Black solid knitted crop top, has a high neck, and long sleevesThe model (height 5'8"") is wearing a size SMaterial: 96% cotton, 4% Lycra&nbsp;<br>Machine Wash","{'Body Shape ID': '333', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'High Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
15302810,STREET 9 Maroon Floral Georgette Fitted Crop Top,Crop Top,1599,Maroon,STREET 9,http://assets.myntassets.com/assets/images/15302810/2021/8/30/2d0e4dd7-0a8d-47fd-a7d7-ed28bc3d0a481630325465134STREET9MaroonFloralGeorgetteFittedCropTop1.jpg,"<ul> <li> Maroon crop fitted top </li> <li> Floral print </li> <li> Square neck,  long,  puff sleeve sleeves </li> <li> Woven georgette </li> <li> Concealed zip closure </li> </ul>100%Polyester<br>Machine washThe model (height 5'8) is wearing a size S","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Concealed Zip', 'Fabric': 'Polyester', 'Fabric Type': 'Georgette', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Square Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Puff Sleeves', 'Surface Styling': 'Gathered or Pleated', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
14063400,Athena Black Floral Printed Puff Sleeves Smocked Georgette Regular Crop Top,Crop Top,1499,Black,Athena,http://assets.myntassets.com/assets/images/productimage/2021/4/10/c5a07d74-2196-4fc1-989d-cd13348b5ecb1618032758415-1.jpg,"<ul><li>Black crop regular top</li><li>Floral printed</li><li>Square neck, three-quarter sleeves, puff sleeves</li><li>Smocking detail</li><li>Woven georgette</li><li>Tie-ups</li></ul>The model (height 5'8) is wearing a size SPolyester <br> Machine wash","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Tie-Ups', 'Fabric': 'Polyester', 'Fabric Type': 'Georgette', 'Length': 'Crop', 'Lining': 'Has a lining', 'Main Trend': 'Smocked', 'Multipack Set': 'NA', 'Neck': 'Square Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Puff Sleeves', 'Surface Styling': 'Smocking', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
18084562,H&M Girls Pink Cotton Jersey Cropped Top,"Girls, Pink, Cotton, Jersey, Cropped Top",499,Pink,H&M,http://assets.myntassets.com/assets/images/18084562/2022/4/29/3962f30a-7712-4b75-ae02-23d5e26fd05d1651202490622Cottonjerseycroppedtop1.jpg,"<p>Cropped top in soft cotton jersey with a narrow trim around the neckline and short sleeves.</p>97% Cotton, 3% Elastane<br>Machine Wash&nbsp;<br>","{'Body or Garment Size': 'Garment Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
14498202,SASSAFRAS White Solid Crop Top,Crop Top,899,White,SASSAFRAS,http://assets.myntassets.com/assets/images/14498202/2022/4/7/5ed1f7fe-2e15-40c4-9793-cd8e1106ba241649330303548SASSAFRASWhiteSolidCropTop1.jpg,<ul><li>White crop regular top</li><li>Solid</li><li>High neck</li><li>sleeveless</li><li>Knitted cotton</li></ul>96% Cotton 4% Lycra<br>Machine washThe model (height 5'8) is wearing a size S,"{'Body Shape ID': '333', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'Cotton', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'High Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
17570088,Friskers Black Solid Turtle Neck Crop Fitted Top,Crop Top,869,Black,Friskers,http://assets.myntassets.com/assets/images/17570088/2022/3/17/b7562c37-c926-4c40-afc0-25a5809e2c441647522725943FriskersBlackTop1.jpg,"<ul> <li> Black regular fitted top </li> <li> Solid </li> <li> High neck,  sleeveless,  no sleeves </li> <li> Knitted cotton </li> </ul>The model (height 5'8) is wearing a size SCotton Rib<br>machine wash","{'Body or Garment Size': 'Garment Measurements in', 'Care for me': 'NA', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'Cotton', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'High Neck', 'Occasion': 'Party', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Semi Sheer', 'Type': 'Fitted', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Party
17538092,Tokyo Talkies Mint Green Tank Tie Up Crop Top,Crop Top,799,Green,Tokyo Talkies,http://assets.myntassets.com/assets/images/17538092/2022/3/15/a33a0a38-925b-4039-a9df-d097634bdb481647343079798TokyoTalkiesGreenTop1.jpg,"<ul> <li> Green crop tank top </li> <li> Solid </li> <li> Shoulder straps,  sleeveless,  shoulder straps sleeves </li> <li> Waist tie-ups detail </li> <li> Knitted </li> </ul>Polyester Viscose<br>Machine washThe model (height 5'8) is wearing a size S","{'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Care for me': 'Follow the fabric care label. Warm machine wash is recommended.\r\nCan be tumble dried in a cool setting.\r\nPrevent static build-up by drying while damp. \r\nUse low heat to iron.', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Shoulder Straps', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'Shoulder Straps', 'Surface Styling': 'Waist Tie-Ups', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Tank', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
17883622,H&M Girls Beige Cotton Jersey Cropped Top,Cropped Top,499,Beige,H&M,http://assets.myntassets.com/assets/images/17883622/2022/4/14/e83acda0-3241-4a4d-bb49-2c837532837d1649905528803Cottonjerseycroppedtop1.jpg,"<p>Cropped top in soft cotton jersey with a narrow trim around the neckline and short sleeves.</p>97% Cotton, 3% Elastane<br>Machine Wash","{'Body or Garment Size': 'Garment Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'NA', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Multipack Set': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
